,Deweloper,Inwestycja,Powierzchnia użytkowa,Piętro,Typ kuchni,Powierzchnia loggii,Rynek,Kredyt,Numer oferty,Zaktualizowano,Opublikowano,,title,url,Stan nieruchomości,Liczba pięter,Liczba łazienek,Balkon,Forma własności,Wysokość wnętrza,Rodzaj umowy,Czy łazienka z WC,Dostępne od,Na biuro,Liczba poziomów mieszkania,Powierzchnia łazienki,Powierzchnia balkonu,Taras,Liczba sypialni,Stolarka okienna,Dodatkowe koszty,Loggia
0,Dom Development S.A.,Osiedle Wilno,"55,28 m²",2,aneks,"4,55 m²",pierwotny,sprawdź ratę,morizon-f-90001,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 55 m² | Morizon.pl | 8805",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-55m2-mzn2041538805?from=top_normal_listing,,,,,,,,,,,,,,,,,,
1,,,71 m²,1 / 5,Z OKNEM,,wtórny,sprawdź ratę,morizon-267/12861/OMS,31 marca 2023,27 listopada 2022,,"Mieszkanie na sprzedaż, Warszawa Bielany, 71 m² | Morizon.pl | 5911",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-heroldow-71m2-mzn2041325911,DOBRY,5,2,Tak,WŁASNOŚĆ,,,,,,,,,,,,,
2,,,53 m²,6 / 7,OTWARTA,,wtórny,sprawdź ratę,morizon-306/12861/OMS,8 marca 2023,15 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Bemowo, 53 m² | Morizon.pl | 5529",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-narwik-53m2-mzn2041495529,WYSOKI STANDARD,7,2,Tak,WŁASNOŚĆ,265 cm,,,,,,,,,,,,
3,,,"59,75 m²",1 / 4,zamknięta,,wtórny,sprawdź ratę,morizon-15013291,25 lutego 2023,23 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Wola, 60 m² | Morizon.pl | 5962",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-lazurowa-59m2-mzn2041525962,,4,,Tak,,,,,,,,,,,,,,
4,,,"49,56 m²",parter / 3,OTWARTA,,wtórny,sprawdź ratę,morizon-309/12861/OMS,31 marca 2023,23 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Bemowo, 50 m² | Morizon.pl | 5803",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-wroclawska-49m2-mzn2041525803,WYSOKI STANDARD,3,1,Tak,,,na wyłączność,,,,,,,,,,,
5,,,"63,5 m²",3 / 4,ODDZIELNA,,wtórny,sprawdź ratę,morizon-308/12861/OMS,30 marca 2023,19 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Egejska, 64 m² | Morizon.pl | 4544",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-egejska-63m2-mzn2041504544,WYSOKI STANDARD,4,1,Tak,,,,,,,,,,,,,,
6,,,"77,66 m²",3 / 5,otwarta,,wtórny,sprawdź ratę,morizon-15053256,22 marca 2023,1 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Ochota, 78 m² | Morizon.pl | 0178",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-instalatorow-77m2-mzn2041700178,,5,,Tak,,,,,,,,,,,,,,
7,,,"97,18 m²",2 / 4,ODDZIELNA,,wtórny,sprawdź ratę,morizon-355/12861/OMS,wczoraj,wczoraj,,"Mieszkanie na sprzedaż, Warszawa Sarmacka, 97 m² | Morizon.pl | 6898",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-sarmacka-97m2-mzn2041886898,WYSOKI STANDARD,4,2,Tak,,,,,,,,,,,,,,
8,Cordia Polska,Fantazja na Bemowie,"42,49 m²",1 / 5,,,pierwotny,sprawdź ratę,morizon-B/09,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 42 m² | Morizon.pl | 6813",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-42m2-mzn2038046813,,5,,,,,,,,,,,,,,,,
9,,,51 m²,6 / 10,widna,,wtórny,sprawdź ratę,morizon-7048,27 marca 2023,27 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Służew, 51 m² | Morizon.pl | 2429",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-pulawska-51m2-mzn2041852429,,10,,Nie,pełna własność,265 cm,na wyłączność,razem,2022-06-01,Tak,,,,,,,,
10,,,"76,3 m²",5 / 5,otwarta,,wtórny,sprawdź ratę,morizon-15,wczoraj,5 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Nowe Włochy, 76 m² | Morizon.pl | 1336",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-obywatelska-76m2-mzn2041741336,,5,2,Tak,własność,270 cm,na wyłączność,razem,2023-04-01,,1,"4,59 m²","6,49 m²",Nie,,,,
11,Cordia Polska,Fantazja na Bemowie,"99,01 m²",1 / 5,,,pierwotny,sprawdź ratę,morizon-B/07,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 99 m² | Morizon.pl | 6812",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-99m2-mzn2038046812,,5,,,,,,,,,,,,,,,,
12,Dom Development S.A.,Apartamenty Białej Koniczyny,"37,23 m²",2,aneks,,pierwotny,sprawdź ratę,morizon-f-85350,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Apartamenty Białej Koniczyny, Warszawa, 37 m² | Morizon.pl | 2839",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-bialej-koniczyny-5-37m2-mzn2041532839,,,,Tak,,,,,,,,,"4,95 m²",,,,,
13,,,76 m²,6 / 7,osobna,,wtórny,sprawdź ratę,morizon-553,dzisiaj,wczoraj,,"Mieszkanie na sprzedaż, Warszawa Stara Praga, 76 m² | Morizon.pl | 5868",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-polnoc-targowa-76m2-mzn2041885868,,7,1,Tak,spółdzielcze-własnościowe,247 cm,na wyłączność,osobno,,,1,"3,7 m²","2,5 m²",,,,,
14,Dom Development S.A.,Osiedle Urbino,"37,38 m²",1,aneks,"4,93 m²",pierwotny,sprawdź ratę,morizon-f-89491,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Osiedle Urbino, Warszawa, 37 m² | Morizon.pl | 2538",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-rownolegla-9a-37m2-mzn2041542538,,,,,,,,,,,,,,,,,,
15,Dom Development S.A.,Osiedle Wilno,"59,29 m²",3,aneks,"7,82 m²",pierwotny,sprawdź ratę,morizon-f-98577,dzisiaj,11 lutego 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 59 m² | Morizon.pl | 0775",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-59m2-mzn2041620775,,,,Tak,,,,,,,,,"5,45 m²",,,,,
16,Dom Development S.A.,Osiedle Wilno,"59,29 m²",2,aneks,"7,82 m²",pierwotny,sprawdź ratę,morizon-f-98569,dzisiaj,11 lutego 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 59 m² | Morizon.pl | 0767",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-59m2-mzn2041620767,,,,Tak,,,,,,,,,"5,45 m²",,,,,
17,Dom Development S.A.,Osiedle Urbino,"34,2 m²",5,aneks,,pierwotny,sprawdź ratę,morizon-f-89439,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Osiedle Urbino, Warszawa, 34 m² | Morizon.pl | 2486",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-rownolegla-9a-34m2-mzn2041542486,,,,Tak,,,,,,,,,"2,62 m²",,,,,
18,Cordia Polska,Fantazja na Bemowie,"106,67 m²",1 / 5,,,pierwotny,sprawdź ratę,morizon-B/13,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 107 m² | Morizon.pl | 6817",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-106m2-mzn2038046817,,5,,,,,,,,,,,,,,,,
19,,,74 m²,1 / 3,,,wtórny,sprawdź ratę,morizon-DBI325336,wczoraj,13 lutego 2023,,"Mieszkanie na sprzedaż, Warszawa Mokotów, 74 m² | Morizon.pl | 2978",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-santocka-74m2-mzn2041642978,,3,,Tak,,,na wyłączność,,2023-05-01,,1,,,,2,,,
20,,,"44,9 m²",1 / 12,Z OKNEM,,wtórny,sprawdź ratę,morizon-350/12861/OMS,30 marca 2023,16 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Targówek, 45 m² | Morizon.pl | 7429",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-zamiejska-44m2-mzn2041787429,DOBRY,12,1,,,,na wyłączność,,,,,,,,,,,
21,,,"103,9 m²",6,otwarta,,wtórny,sprawdź ratę,morizon-9,3 marca 2023,26 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Śródmieście Północne, 104 m² | Morizon.pl | 3101",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-slominskiego-103m2-mzn2041543101,,,2,Nie,spółdzielcze-własnościowe z KW,270 cm,na wyłączność,razem,2023-04-01,Tak,1,6 m²,,Nie,,,,
22,,,47 m²,1 / 3,OTWARTA,,wtórny,sprawdź ratę,morizon-2802/10398/OMS,23 marca 2023,13 lutego 2023,,"Mieszkanie na sprzedaż, Warszawa Ochota, 47 m² | Morizon.pl | 0866",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-wlodarzewska-47m2-mzn2041640866,BARDZO WYSOKI STANDARD,3,,,,275 cm,,,,,,,,,,,,
23,ACCIONA Nieruchomości Sp. z o.o.,U-CITY RESIDENCE,"38,15 m²",1 / 2,,,pierwotny,sprawdź ratę,morizon-M_16A.1.10,16 marca 2023,16 marca 2023,,"Mieszkanie w inwestycji U-CITY RESIDENCE, Warszawa, 38 m² | Morizon.pl | 5914",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursus-henryka-i-brodatego-16-18-38m2-mzn2041785914,,2,,,,,,,,,,,,,,,,
24,,,"47,1 m²",3 / 3,aneks,,wtórny,sprawdź ratę,morizon-15085937,dzisiaj,1 kwietnia 2023,,"Mieszkanie na sprzedaż, Warszawa Włochy, 47 m² | Morizon.pl | 3769",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-aleje-jerozolimskie-47m2-mzn2041883769,,3,,,,,,,,,,,,,,,,
25,Cordia Polska,Fantazja na Bemowie,"98,71 m²",2 / 5,,,pierwotny,sprawdź ratę,morizon-B/14,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 99 m² | Morizon.pl | 6818",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-98m2-mzn2038046818,,5,,,,,,,,,,,,,,,,
26,,,,2 / 4,aneks,,wtórny,sprawdź ratę,morizon-gratka-29263099,31 marca 2023,22 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Białołęka, 89 m² | Morizon.pl | 4845",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-kazimierza-szalasa-88m2-mzn2041524845,dobry,4,,,własność,,,osobno,2023-03-01,,,,,Tak,,,,
27,,,"58,53 m²",1 / 3,aneks kuchenny - połączony z salonem,,wtórny,sprawdź ratę,morizon-BAO-MS-267,wczoraj,17 grudnia 2022,,"Mieszkanie na sprzedaż, Warszawa Stary Imielin, 59 m² | Morizon.pl | 8565",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-polki-58m2-mzn2041408565,bardzo dobry,3,1,Tak,Własność,,na wyłączność,razem,,Nie,,"3,99 m²","4,59 m²",,2,PCV,670,
28,,,"41,5 m²",3 / 9,,,wtórny,sprawdź ratę,morizon-SLO-MS-368,1 kwietnia 2023,3 lutego 2023,,"Mieszkanie na sprzedaż, Warszawa Mokotów, 42 m² | Morizon.pl | 3018",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-41m2-mzn2041583018,do wprowadzenia,9,,,,,,,,Nie,,,,,,PCV,,
29,,,,parter / 5,aneks,,wtórny,sprawdź ratę,morizon-gratka-29419085,7 marca 2023,4 lutego 2023,,"Mieszkanie na sprzedaż, Warszawa Ochota, 36 m² | Morizon.pl | 8139",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-jozefa-siemienskiego-36m2-mzn2041608139,dobry,5,,,własność,,,razem,2023-03-01,,,,,,,,,
30,,,,1 / 2,aneks,,wtórny,sprawdź ratę,morizon-gratka-28865177,25 marca 2023,12 grudnia 2022,,"Mieszkanie na sprzedaż, Warszawa Wędrowców, 103 m² | Morizon.pl | 6273",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wedrowcow-102m2-mzn2041386273,wysoki standard,2,,,własność,,,razem,2022-12-15,,,,,,,,,Tak
31,,,"59,7 m²",1 / 3,ANEKS KUCHENNY,,wtórny,sprawdź ratę,morizon-282978/3376/OMS,30 marca 2023,5 lutego 2023,,"Mieszkanie na sprzedaż, Warszawa Bemowo, 60 m² | Morizon.pl | 8503",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-dywizjonu-303-59m2-mzn2041608503,DOBRY,3,1,Tak,WŁASNOŚĆ,260 cm,,,,,,,,,,,,
32,,,100 m²,5 / 6,,,wtórny,sprawdź ratę,morizon-MWM-MS-88,25 marca 2023,26 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Żoliborz, 100 m² | Morizon.pl | 1952",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-ludwika-rydygiera-100m2-mzn2041531952,,6,,,Własność,290 cm,na wyłączność,,,Nie,,,22 m²,Tak,,,1000,
33,,,70 m²,1 / 3,osobna,,wtórny,sprawdź ratę,morizon-13,dzisiaj,9 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Mokotów, 70 m² | Morizon.pl | 1694",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-gorska-70m2-mzn2041751694,,3,1,Tak,spółdzielcze-własnościowe,300 cm,na wyłączność,osobno,2023-04-15,,1,,"2,5 m²",Nie,,,,
34,,,"54,84 m²",5 / 5,jasna z oknem,,wtórny,sprawdź ratę,morizon-BAO-MS-296,30 marca 2023,9 grudnia 2022,,"Mieszkanie na sprzedaż, Warszawa Stara Ochota, 55 m² | Morizon.pl | 6714",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-bialobrzeska-54m2-mzn2041366714,do generalnego remontu,5,1,,Własność,270 cm,na wyłączność,razem,,Nie,,4 m²,,,2,PCV,,
35,,,123 m²,3 / 4,otwarta,,wtórny,sprawdź ratę,morizon-8,dzisiaj,9 sierpnia 2022,,"Mieszkanie na sprzedaż, Warszawa Stary Mokotów, 123 m² | Morizon.pl | 4519",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-rozana-123m2-mzn2040844519,,4,2,Tak,własność,300 cm,na wyłączność,razem,2023-03-31,Tak,2,12 m²,9 m²,Nie,,,,
